driverId,driverRef,driverStandingsId,raceId,points,position,wins,year,circuitId,name,time
8,raikkonen,70112,1044,4.0,16,0,2020,5,Turkish Grand Prix,10:10:00
8,raikkonen,70133,1045,4.0,16,0,2020,3,Bahrain Grand Prix,14:10:00
8,raikkonen,70154,1046,4.0,16,0,2020,3,Sakhir Grand Prix,17:10:00
8,raikkonen,70200,1047,4.0,16,0,2020,24,Abu Dhabi Grand Prix,13:10:00
8,raikkonen,70708,1051,10.0,16,0,2021,78,Qatar Grand Prix,14:00:00
8,raikkonen,70241,1052,0.0,11,0,2021,3,Bahrain Grand Prix,15:00:00
8,raikkonen,70301,1053,0.0,14,0,2021,21,Emilia Romagna Grand Prix,13:00:00
8,raikkonen,70321,1054,0.0,14,0,2021,75,Portuguese Grand Prix,14:00:00
8,raikkonen,70341,1055,0.0,14,0,2021,4,Spanish Grand Prix,13:00:00
8,raikkonen,70361,1056,0.0,16,0,2021,6,Monaco Grand Prix,13:00:00
8,raikkonen,70381,1057,1.0,15,0,2021,73,Azerbaijan Grand Prix,12:00:00
8,raikkonen,70401,1059,1.0,15,0,2021,34,French Grand Prix,13:00:00
8,raikkonen,70421,1058,1.0,15,0,2021,70,Styrian Grand Prix,13:00:00
8,raikkonen,70461,1060,1.0,15,0,2021,70,Austrian Grand Prix,13:00:00
8,raikkonen,70481,1061,1.0,15,0,2021,9,British Grand Prix,14:00:00
8,raikkonen,70521,1062,2.0,17,0,2021,11,Hungarian Grand Prix,13:00:00
8,raikkonen,70541,1063,2.0,17,0,2021,13,Belgian Grand Prix,13:00:00
8,raikkonen,70561,1064,2.0,17,0,2021,39,Dutch Grand Prix,13:00:00
8,raikkonen,70582,1065,2.0,17,0,2021,14,Italian Grand Prix,13:00:00
8,raikkonen,70603,1066,6.0,17,0,2021,71,Russian Grand Prix,12:00:00
8,raikkonen,70624,1067,6.0,17,0,2021,5,Turkish Grand Prix,12:00:00
8,raikkonen,70645,1069,6.0,17,0,2021,69,United States Grand Prix,19:00:00
8,raikkonen,70666,1070,10.0,16,0,2021,32,Mexico City Grand Prix,19:00:00
8,raikkonen,70687,1071,10.0,16,0,2021,18,São Paulo Grand Prix,17:00:00
8,raikkonen,70729,1072,10.0,16,0,2021,77,Saudi Arabian Grand Prix,17:30:00
8,raikkonen,70750,1073,10.0,16,0,2021,24,Abu Dhabi Grand Prix,13:00:00
9,kubica,69765,1010,0.0,17,0,2019,1,Australian Grand Prix,05:10:00
9,kubica,69225,1011,0.0,17,0,2019,3,Bahrain Grand Prix,15:10:00
9,kubica,69245,1012,0.0,20,0,2019,17,Chinese Grand Prix,06:10:00
